id,type,name,date_of_birth,date_of_death
g.15dpfgyh,people.deceased_person,Şerban Stănciulescu,1947,1987
g.15dqj5r2,people.person,Peeter Kard,1940-07-02,2006-04-04
g.1hb_dr8xy,people.person,Lee Hunt,1981-06-05,
g.1hhzgq_fp,people.person,Ivonne Schröder,1988-07-25,
g.1n36gmvqj,people.person,Jan Gruyaert,1944,
g.1pxxn_w3m,people.person,Michał Żurek,1988-06-03,
g.1pzpdhfn3,people.person,Jörg Döring,1959,
g.1q6m2c7n7,people.person,Balázs Bartus,1990-05-30,
g.1xy2y95n,people.person,Danan Puspito,1986,
g.1yg4ly3ff,people.person,Alexander Gorlenko,1944-11-21,
g.1yg58kh50,people.person,Pavel Borisov,1956-03-20,
g.1yg58l9_3,people.person,甲 にしき,1942-07-08,
g.1yh7_wrnn,people.deceased_person,Ludwig Schorn,1793-06-10,1842-02-17
g.1yprtznyg,people.deceased_person,Елена Петровна Баженова,1904-10-26,1980
g.1z0spjxm1,people.person,加納秀人,1952-06-22,
g.1z0spl5nh,people.person,Andrea De Pino,1892-06-04,1966-08-04
m.01008nrf,people.person,Nilson Ricardo da Silva Júnior,1989-03-31,
m.0100_kqm,people.person,Geoff Thompson,1972-01-14,
m.0100f2ws,people.person,Darko Bjelanović,1991-07-25,
m.0100kkm9,people.person,Robert Williams,1695,1763
m.01011bry,people.deceased_person,Mette Georg Jensen,1921,2009
m.0101b4gd,people.person,Ringo Rimér,2010,
m.0101dx9f,people.person,Carl Axtens,1991-08-26,
m.0101hjp_,people.person,Kasey Hill,1993-12-03,
m.0101n9t7,people.person,Raymond M. Cable,1909-04-22,1995-02-26
m.0101r173,people.person,Gautam Sen,1959,
m.01026zv3,people.person,Lepono Ndhlovu,1986-02-25,
m.0102b0x1,people.person,Anatoly Blatov,1914,1988
m.0102b16t,people.person,Dan Huberty,1968-06-21,
m.0102bnky,people.person,강지용,1989-11-23,
m.0102cn8s,people.person,"Thomas H. Stoner, Jr.",1960-01-19,
m.0102rjd3,people.person,Väinö Pellervo Niinistö,1911-05-13,
m.0103thck,people.person,Ricardo Morris,1992-02-11,
m.010484f7,people.person,Jake Worthington,1996,
m.0104cg88,people.person,Omere Harris,2012,
m.0104djff,people.person,Karma Bräck,2003-12-31,
m.0104ftkh,people.person,Gordon Bailey Washburn,1904-11-07,1983
m.0104fvz7,people.person,Elmer G. Butler,1900-02-13,1972-02-23
m.0104mt2q,people.person,Alfredo P. Murúa,1905-01-15,1990-07-12
m.0104rq84,people.person,José Olarra,1896,1948-11-19
m.0104t6vf,people.person,Carter Verhaeghe,1995-08-14,
m.01050g4r,people.person,Paulamaria Lipponen,1964,
m.0105gm5f,people.person,Jari Nissinen,1964-07-17,
m.0105k44c,people.person,Ciro Nogueira,1968-11-21,
m.0105rfgk,people.deceased_person,Иоанн,1936-10-22,2014-04-03
m.0105s69x,people.person,Giulia Tosca Griselli,2013-03-01,
m.01067c_c,people.person,Aníbal Sánchez Reulet,1910-04-13,1997-07-26
m.0106_xqb,people.person,Tacko Fall,1995-12-10,
m.01074b_4,people.person,Vivianne Rose Decker,2014-03-18,
m.01075018,people.person,Philip Wood,1963,
m.0107b7dl,people.person,Drew Van Houten,2007,
m.0107bmst,people.person,María José Bello,1980-10-30,
m.0107gm84,people.person,Piotr Ludwik,1988,
m.0107mbn_,people.person,岡田 結実,2000-04-15,
m.0107x5h0,people.person,Viviana Saccone,1968-01-28,
m.0107ytv4,people.person,John Prodger,1935-09-01,
m.01086dtr,people.deceased_person,Shalom Schwartz,1951-03-08,2014-10-16
m.01088x7c,people.person,Gunnar Olram,1908-12-19,2001-01-12
m.01088xby,people.person,Nick Ritchie,1995-12-05,
m.0108m6yh,people.person,Freddy Mezones,1987-09-24,
m.0108t8j4,people.person,Neil Pasricha,1979-09-17,
m.010945tq,people.person,Misha Rachlevsky,1946-11-13,
m.01097b9n,people.person,Mark Pieloch,1957-12-05,
m.0109v4_8,people.deceased_person,Auguste-Emmanuel Vaucorbeil,1821-12-15,1884-11-02
m.010b3tyk,people.deceased_person,Efrén Carlos del Pozo,1907-09-11,1979-05-14
m.010b3vfj,people.person,John Hovannes,1900-12-31,1973-04-01
m.010bkjdp,people.deceased_person,Herbert Shapiro,1907-11-21,1991-06-30
m.010bsm52,people.person,Rogán András,2003,
m.010bvp6b,people.person,Anne de Mare,1967-08-16,
m.010byybw,people.person,Eriko Fujimoto,1981-08-02,
m.010c40gs,people.person,Marcello Serpa,1963,
m.010cy8xf,people.person,Kay Schaefer,1978-06-02,
m.010d45sr,people.person,神田莉緒香,1992-03-26,
m.010d_wys,people.person,猫背 椿,1972-10-17,
m.010dykv0,people.person,阿諏訪 泰義,1983-01-08,
m.010f0k8j,people.person,Merinde Verbeek,1985,
m.010f4nrg,people.person,Kyle J. White,1987,
m.010f5p8z,people.person,Caroline Herzenberg,1932-03-25,
m.010f5pby,people.person,Paul Morrell,1961-03-23,
m.010f7p10,people.deceased_person,R.L. Hayman,1902,
m.010f8k8h,people.person,Mathieu Beaudoin,1974-11-09,
m.010f8klm,people.person,Chuck Clements,1973-09-29,
m.010f93cg,people.deceased_person,Đorđe Lašić,1906-05-05,1944-05-05
m.010f94cb,people.deceased_person,Johann Alexander Hubler-Kahla,1902-06-23,1965-04-06
m.010f94xt,people.person,Jaap Havekotte,1912-03-16,2014-04-23
m.010f9p03,people.person,Manuel da Câmara III,1630,1673-12-29
m.010fbknd,people.person,Vinayak Raut,1954,
m.010fc6wh,people.person,Yoshitaka Kuroda,1987-01-10,
m.010fcw7t,people.deceased_person,Robert Maxwell,1902-06-09,
m.010fcwn2,people.person,Jerry Haldi,1935-08-14,
m.010fd_d4,people.person,Emanuel Ayvas,1983-06-19,
m.010ffdng,people.person,Solveig Hisdal,1946,
m.010ffnlf,people.person,Heinz K. Becker,1950-05-29,
m.010fjhwk,people.person,Jari Laukkanen,1967-06-21,
m.010fkswf,people.deceased_person,John Adair McDowell,1825-07-22,
m.010fn_kb,people.person,Meytal Gal,1987-02-20,
m.010fp4b_,people.person,Karl R. Bopp,1906-02-02,1979-02-01
m.010fpl8t,people.person,Maria de Jong,1948-05-31,
m.010g08hv,people.deceased_person,Bill Gazzarri,1924-06-16,1991-03-13
m.010gk2s2,people.person,Keith Foo,1983-01-06,
m.010gmq3c,people.deceased_person,Omer Verschoore,1888-12-02,1931-06-06
m.010gnc23,people.person,Rachel Hampton,1975-01-24,
m.010gp3_b,people.person,Shella Devi Aulia,1994-07-04,
m.010gq0f2,people.person,Enes Kubat,1994-03-01,
m.010gqg4t,people.deceased_person,Elsie Goldsack Pittman,1904-01-21,1975-03-28
m.010gqh4h,people.person,Mary Turner Shaw,1906-01-14,1990-04-23
m.010gqk5b,people.deceased_person,Odiel Van Den Meersschaut,1919-12-25,1993-03-16
m.010gtbnq,people.person,松尾 剛,1967-10-27,
m.010gxm0y,people.person,Paula Oliveira Maciel Ventura,1982-10-20,
m.010h3fd4,people.person,Eylem Akin,1977-05-08,
m.010h9t5z,people.person,Elzbieta Romanowska,1983-06-04,
m.010hbnwh,people.person,Wanda Hrycová,1978,
m.010hcwbz,people.person,Jack Falahee,1989-02-20,
m.010hd54s,people.person,Hitomi Yoshii,1960-01-01,
m.010hjtrm,people.person,Monica Oemardi,1974-06-16,
m.010hkgdb,people.person,Louis Aimé Japy,1839-10-19,1916-01-08
m.010hkgq9,people.person,Luca D'Angelo,1971-07-26,
m.010hmlly,people.person,Sergio Roman Palacios,1995-05-21,
m.010hmvbq,people.person,Vanja Vonckx,1973-02-12,
m.010hmxvz,people.person,Alexander MacAra,1932-05-04,2012-06-21
m.010hmxxp,people.person,Nadine Fiers,1966-01-12,
m.010hmy7w,people.person,Pat Chappelle,1869-01-07,1911-10-21
m.010hnpr1,people.person,Christian Rust,1992-04-07,
m.010hnvzt,people.person,Emmanuel Mensah,1994-06-30,
m.010hpb7m,people.person,James M. Henderson,1921-03-28,
m.010hqgbk,people.person,Howard G. Swafford,1919-10-11,
m.010hrbr5,people.person,Peter Besanko,1955-01-07,
m.010hrmn4,people.person,Gabriëlle Popken,1983-08-21,
m.010hxh43,people.person,Charlie Meade,2014-01-22,
m.010kyz1p,people.person,Malavarayar Vijayaragunathan Karthikeyan,1978-05-28,
m.010ls0k_,people.deceased_person,Henri Lignon,1884,
m.010lt783,people.person,Kriss Sheridan,1986-04-15,
m.010ltn3d,people.person,Nikola Mitrović,1997-12-14,
m.010lvqnn,people.person,Henri Raybaud,1879,
m.010lwt2w,people.person,Myles Jones,1993-03-15,
m.010lx785,people.person,Aviad Bourla,1993-12-13,
m.010lx7g_,people.deceased_person,Arun Kumar,1959-10-02,
m.010lygjf,people.person,William H. Harris,1927-11-18,
m.010lyqt0,people.person,Xu Gang,1984-01-28,
m.010lyr6m,people.deceased_person,James Cowie,1809-01-09,1892-11-14
m.010mhm93,people.person,Josh Dionne,1991-04-13,
m.010nmf4_,people.person,Mizal Zaini,1971-12-21,
m.010ntj2c,people.person,Shishi Yamazaki,1989,
m.010nv1f4,people.person,Maximiliano González,1972-05,
m.010p1yjt,people.person,Indro,1958-05-08,
m.010pcjl7,people.person,Angell Summers,1987-05-29,
m.010pcjlp,people.person,Billy McClain,1866-10-12,1950-01-19
m.010pclzv,people.person,Harshad Arora,1987,
m.010pd5cn,people.person,Roel Moors,1978-12-16,
m.010pdctp,people.person,Louis Lynch,1904,1976-08-05
m.010pdr2n,people.person,Antoine Duchesne,1991-09-12,
m.010pjpfk,people.person,Natasha Giggs,1982-10-11,
m.010pkstw,people.person,Greg Austin,1963-06-14,
m.010pnz71,people.person,Dixon Hearne,1948,
m.010pp_6g,people.person,Miroslav Jurka,1987-06-07,
m.010psb_5,people.deceased_person,André Beucler,1898-02-23,1985-02-26
m.010pxr46,people.person,Ai Tamura,1984-07-10,
m.010py0wf,people.person,Adrian Romoff,2005,
m.010pzg5m,people.person,Bojay Filimoeatu,1989-12-06,
m.010q3bqc,people.person,Billy Walters,1952-11-11,
m.010q62q1,people.person,Alexa Efraimson,1997-02-20,
m.010q7zcq,people.person,Wayne Blackman,1975-12-25,
m.010q825t,people.person,Marian Jiménez,1985-01-31,
m.010q8408,people.person,Simon Mugava,1990-11-29,
m.010qbgx1,people.person,Oliver Makin,1990-08-16,
m.010qck63,people.person,Kayanja Muhanga,1965,
m.010qcmb2,people.person,Bartosz Zmarzlik,1995-04-12,
m.010qdlxk,people.person,Justin Oakey,1988-03-29,
m.010qdx5c,people.person,Andreas Schuller,1985,
m.010qf9_6,people.person,Tarô Itsumi,1972-12-24,
m.010qhfp6,people.deceased_person,Philip de Fonblanque,1885-11-16,1940-07-02
m.010qmjzc,people.person,Thibault Corbaz,1994-01-07,
m.010qnvz9,people.person,Bo Martyn,1986-09-27,
m.010qp3dg,people.deceased_person,Sarah Robertson,1891-06-16,1948-12-06
m.010qp3hn,people.person,Diego Palmero,1951-01-27,
m.010qp_48,people.person,Enrico Garozzo,1989-06-05,
m.010qrtkt,people.person,Yôko Fuji,1912-03-18,1980-05-10
m.010qvjm3,people.person,Hari Gidwani,1953-10-23,
m.010qvq87,people.person,切斯特·內茲,1921-01-23,2014-06-04
m.010qz39g,people.person,Akeem Dewar,1991-08-30,
m.010r19_0,people.person,Marjorie Caup,1987,
m.010r61cw,people.person,Јосип Шолар,1903,
m.010r61hs,people.person,이원회,1986,
m.010r8z2g,people.person,Danielle Rieder,1961-03-14,
m.010r9yg1,people.person,Clifford Gatt Baldacchino,1988-02-09,
m.010rcdsp,people.person,Tami Grende,1997-06-22,
m.010rf1jm,people.person,Elrayah Ali Maki,1987-11-30,
m.010rj1w_,people.deceased_person,Mikaela,1935-06-19,1991-03-29
m.010rjjzn,people.person,Herman Kantoyeu,1971-11-27,
m.010rk63_,people.deceased_person,Arthur Essing,1905-02-15,1970-03
m.010s426r,people.person,Ikuma Horii,1981,
m.010s6byc,people.person,Ioulieta Kalantzi,1977,
m.010s6ycz,people.person,Timothy P. Lodge,1954-04,
m.010s9m3f,people.deceased_person,Grant Gordon,1900-10-13,1954-03-20
m.010v_jqq,people.person,Qendrim Hajdaraj,1990-05-13,
m.010vq44n,people.deceased_person,Pashea Fisher,1988-02-06,2012-01-19
m.010vq877,people.person,Yurick Seinpaal,1995-11-12,
m.010vrg5z,people.deceased_person,Nelson D. Cole,1833-11-18,1899-07-31
m.010vv52l,people.person,Lorenc Trashi,1992-05-19,
m.010vvkzg,people.person,Abraham Velázquez Iribe,1953-03-17,
m.010vxbts,people.person,Kamil Kula,1989-06-01,
m.010w1mqw,people.person,李景亮,1988-03-20,
m.010wg6rl,people.person,Günther Matzinger,1987-05-16,
m.010wls_8,people.person,Glenn Spearing,1985-06-01,
m.010wm072,people.person,Gianluca Mizzi,1973-01-12,
m.010wy8y_,people.deceased_person,Érika Ortiz Rocasolano,1975-04-16,2007-02-07
m.010x27ck,people.person,Steven Colvert,1990-08-24,
m.010x30k8,people.person,Andreas Stollenz,1957,
m.010x6v9m,people.person,Mary A. Conroy,1931-12-25,2014-08-09
m.010x751r,people.person,Yao Lu,1967,
m.010x896r,people.deceased_person,Kaneyasu Marutani,1919-06-25,2014-06-03
m.010xb7cp,people.deceased_person,Noble Brandon Judah,1884-04-23,1938-02-26
m.010xbmg7,people.deceased_person,Pedro Nolasco Cruz Vergara,1857-04-18,1939-11-11
m.010xcvc5,people.person,Alexei Anisimov,1984-04-15,
m.010xd9nx,people.person,Lucas Overby,1986-07-12,
m.010xdgyv,people.person,Huberto Aldaz,1957-11-03,
m.010xdpq_,people.person,Ron Williams,1963-07-20,
m.010xdv1q,people.deceased_person,George Hamilton,1718-08-11,1787-11-26
m.0110j2qc,people.person,Franco Cioni,1943,
